2026-05-01 05:47:45 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7591872239
2026-05-01 05:48:45 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 8688437892
2026-05-01 05:49:04 AM | INFO | main_router | Routing message from -1003506710131: cus 5ရက်နေ့ရက်ချိန်းလေးပါရှငိ့မမ 09768400477...
2026-05-01 05:49:06 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:49:06 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 680
2026-05-01 05:49:07 AM | INFO | auto_pickup | ℹ️ Message 680 is not a pickup request (Action: OTHER). Skipping auto_pickup.
2026-05-01 05:49:07 AM | INFO | db_manager | ✓ Message 680 in -1003506710131 saved as PENDING
2026-05-01 05:49:07 AM | INFO | message_handler | 📩 New Pending Message from 8781916512 in -1003506710131 (Topic: 4)
2026-05-01 05:49:35 AM | INFO | main_router | Routing message from -1003506710131: /...
2026-05-01 05:49:37 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:49:50 AM | INFO | main_router | Routing message from -1003506710131: ရေးမြို့ကdeli ခဘယ်လောက်လဲရှင့်...
2026-05-01 05:49:51 AM | INFO | main_router | 🎯 AI Decision: support
2026-05-01 05:49:51 AM | INFO | main_router | 🔇 Blocking general intent 'support' in Group Chat -1003506710131. Bot will remain silent.
2026-05-01 05:49:51 AM | INFO | db_manager | ✓ Message 682 in -1003506710131 saved as PENDING
2026-05-01 05:49:51 AM | INFO | message_handler | 📩 New Pending Message from 1638191280 in -1003506710131 (Topic: 1)
2026-05-01 05:50:47 AM | INFO | main_router | Routing message from -1003752706100: ဟုတ်ကဲ့ရှင့်...
2026-05-01 05:50:48 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:50:48 AM | INFO | db_manager | ✓ Message 96 in -1003752706100 saved as PENDING
2026-05-01 05:50:48 AM | INFO | message_handler | 📩 New Pending Message from 5094536653 in -1003752706100 (Topic: 1)
2026-05-01 05:51:16 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 7261311241
2026-05-01 05:52:22 AM | INFO | main_router | Routing message from -1003798739565: cus 4ရက်နေ့ရက်ချိန်းလေးပါရှငိ့မမ 09750073079...
2026-05-01 05:52:24 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:52:24 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 4396
2026-05-01 05:52:25 AM | INFO | auto_pickup | ℹ️ Message 4396 is not a pickup request (Action: OTHER). Skipping auto_pickup.
2026-05-01 05:52:25 AM | INFO | db_manager | ✓ Message 4396 in -1003798739565 saved as PENDING
2026-05-01 05:52:25 AM | INFO | message_handler | 📩 New Pending Message from 8781916512 in -1003798739565 (Topic: 4)
2026-05-01 05:52:39 AM | INFO | auditor | 💓 Heartbeat sent to HealthCheck.
2026-05-01 05:52:48 AM | INFO | main_router | 🛡️ Staff Exclusion (Group): Skipping AI routing for staff 8594974673
2026-05-01 05:55:02 AM | INFO | main_router | Routing message from -1003595920776: မွန်ပြည်နယ် သိမ်ဇရပ် ပို့ပေးလားရှင့်...
2026-05-01 05:55:04 AM | INFO | main_router | 🎯 AI Decision: support
2026-05-01 05:55:04 AM | INFO | main_router | 🔇 Blocking general intent 'support' in Group Chat -1003595920776. Bot will remain silent.
2026-05-01 05:57:39 AM | INFO | auditor | 💓 Heartbeat sent to HealthCheck.
2026-05-01 05:58:00 AM | INFO | main_router | Routing message from -1003798739565: ဒါ က scan အပြည့် ပါတာလေး...
2026-05-01 05:58:01 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:58:01 AM | INFO | db_manager | ✓ Message 4397 in -1003798739565 saved as PENDING
2026-05-01 05:58:01 AM | INFO | message_handler | 📩 New Pending Message from 7968341766 in -1003798739565 (Topic: 49)
2026-05-01 05:58:06 AM | INFO | main_router | Routing message from -1003798739565: ပို့ပေးလို့ ရခားရှင့်...
2026-05-01 05:58:07 AM | INFO | main_router | 🎯 AI Decision: auto_pickup
2026-05-01 05:58:07 AM | INFO | auto_pickup | 🚚 Auto Pickup module handling message: 4398
2026-05-01 05:58:08 AM | INFO | db_manager | ✓ Message 4398 in -1003798739565 saved as PENDING
2026-05-01 05:58:08 AM | INFO | message_handler | 📩 New Pending Message from 7968341766 in -1003798739565 (Topic: 49)
2026-05-01 05:58:47 AM | INFO | main_router | Routing message from -1003798739565: 🥹🥹...
2026-05-01 05:58:58 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:58:59 AM | INFO | db_manager | ✓ Message 4400 in -1003798739565 saved as PENDING
2026-05-01 05:58:59 AM | INFO | message_handler | 📩 New Pending Message from 7968341766 in -1003798739565 (Topic: 49)
2026-05-01 05:59:50 AM | INFO | main_router | Routing message from -1003798739565: No.313
K Tz 

ပြင်စာမြောက်ကုံးဖွင့်ဖြိုးရေး2လမ်း အ...
2026-05-01 05:59:51 AM | INFO | main_router | 🎯 AI Decision: none
2026-05-01 05:59:51 AM | INFO | db_manager | ✓ Message 4401 in -1003798739565 saved as PENDING
2026-05-01 05:59:51 AM | INFO | message_handler | 📩 New Pending Message from 7968341766 in -1003798739565 (Topic: 4)
2026-05-01 06:00:10 AM | INFO | main_router | Routing message from -1003798739565: ဒါလေးပိူ့ ပီးပီလားရှင့်...
2026-05-01 06:00:11 AM | INFO | main_router | 🎯 AI Decision: check_order
2026-05-01 06:00:11 AM | INFO | main_router | 🔇 Blocking general intent 'check_order' in Group Chat -1003798739565. Bot will remain silent.
2026-05-01 06:00:11 AM | INFO | db_manager | ✓ Message 4402 in -1003798739565 saved as PENDING
2026-05-01 06:00:11 AM | INFO | message_handler | 📩 New Pending Message from 7968341766 in -1003798739565 (Topic: 4)
